seed_index,seed,n,t,trunc_bytes,hash_bits,pwd_length,successful_cracks,failed_cracks,total_time,success_rate,avg_time_per_crack,same,different,construction_time,notes,timestamp
1,123,100,300,4,32,5,0,100,4.9893903732299805,0.0,0.04989390373229981,0,0,0.036025047302246094,OK,2025-10-19 22:06:16
2,999,100,300,4,32,5,0,100,5.015063762664795,0.0,0.05015063762664795,0,0,0.0366973876953125,OK,2025-10-19 22:06:21
0,1,100,300,4,32,7,0,100,5.403095722198486,0.0,0.054030957221984866,0,0,0.0400090217590332,OK,2025-10-19 22:06:26
1,123,100,300,4,32,7,0,100,5.476058006286621,0.0,0.05476058006286621,0,0,0.03975391387939453,OK,2025-10-19 22:06:31
2,999,100,300,4,32,7,0,100,5.443132400512695,0.0,0.05443132400512695,0,0,0.03966879844665527,OK,2025-10-19 22:06:37
0,1,100,300,4,32,10,0,100,6.4445860385894775,0.0,0.06444586038589478,0,0,0.045538902282714844,OK,2025-10-19 22:06:42
1,123,100,300,4,32,10,0,100,6.319488048553467,0.0,0.06319488048553466,0,0,0.04571247100830078,OK,2025-10-19 22:06:49
2,999,100,300,4,32,10,0,100,6.294653415679932,0.0,0.06294653415679932,0,0,0.04607820510864258,OK,2025-10-19 22:06:55
0,1,100,300,5,40,5,0,100,5.151610374450684,0.0,0.05151610374450684,0,0,0.037584543228149414,OK,2025-10-19 22:07:02
1,123,100,300,5,40,5,0,100,5.251776695251465,0.0,0.05251776695251465,0,0,0.03818964958190918,OK,2025-10-19 22:07:07
2,999,100,300,5,40,5,0,100,5.176975965499878,0.0,0.051769759654998776,0,0,0.03836226463317871,OK,2025-10-19 22:07:12
0,1,100,300,5,40,7,0,100,5.75311017036438,0.0,0.0575311017036438,0,0,0.04071044921875,OK,2025-10-19 22:07:17
1,123,100,300,5,40,7,0,100,5.687372207641602,0.0,0.056873722076416014,0,0,0.042197465896606445,OK,2025-10-19 22:07:23
2,999,100,300,5,40,7,0,100,5.765484571456909,0.0,0.057654845714569095,0,0,0.04174017906188965,OK,2025-10-19 22:07:29
0,1,100,300,5,40,10,0,100,6.564932823181152,0.0,0.06564932823181152,0,0,0.04694771766662598,OK,2025-10-19 22:07:35
1,123,100,300,5,40,10,0,100,6.558426141738892,0.0,0.06558426141738892,0,0,0.046674489974975586,OK,2025-10-19 22:07:41
2,999,100,300,5,40,10,0,100,6.4519829750061035,0.0,0.06451982975006104,0,0,0.04908943176269531,OK,2025-10-19 22:07:48
0,1,100,300,6,48,5,0,100,5.241363048553467,0.0,0.05241363048553467,0,0,0.037947654724121094,OK,2025-10-19 22:07:54
1,123,100,300,6,48,5,1,99,5.191759824752808,1.0,0.05191759824752808,1,0,0.039968013763427734,OK,2025-10-19 22:08:00
2,999,100,300,6,48,5,0,100,5.303929805755615,0.0,0.05303929805755615,0,0,0.03908658027648926,OK,2025-10-19 22:08:05
0,1,100,300,6,48,7,0,100,5.846943140029907,0.0,0.058469431400299074,0,0,0.042664289474487305,OK,2025-10-19 22:08:10
1,123,100,300,6,48,7,0,100,5.922910928726196,0.0,0.059229109287261966,0,0,0.04286646842956543,OK,2025-10-19 22:08:16
2,999,100,300,6,48,7,0,100,5.857550621032715,0.0,0.05857550621032715,0,0,0.04185795783996582,OK,2025-10-19 22:08:22
0,1,100,300,6,48,10,0,100,6.792099475860596,0.0,0.06792099475860595,0,0,0.04820394515991211,OK,2025-10-19 22:08:28
1,123,100,300,6,48,10,0,100,6.605599880218506,0.0,0.06605599880218506,0,0,0.04691600799560547,OK,2025-10-19 22:08:35
2,999,100,300,6,48,10,0,100,6.647630929946899,0.0,0.06647630929946899,0,0,0.049379825592041016,OK,2025-10-19 22:08:41
0,1,100,400,4,32,5,0,100,9.131606101989746,0.0,0.09131606101989746,0,0,0.04738926887512207,OK,2025-10-19 22:08:48
1,123,100,400,4,32,5,0,100,8.872848987579346,0.0,0.08872848987579346,0,0,0.0497281551361084,OK,2025-10-19 22:08:57
2,999,100,400,4,32,5,0,100,9.048274517059326,0.0,0.09048274517059327,0,0,0.048568010330200195,OK,2025-10-19 22:09:06
0,1,100,400,4,32,7,0,100,9.87129259109497,0.0,0.09871292591094971,0,0,0.0538175106048584,OK,2025-10-19 22:09:15
1,123,100,400,4,32,7,0,100,9.924037218093872,0.0,0.09924037218093872,0,0,0.052962303161621094,OK,2025-10-19 22:09:25
2,999,100,400,4,32,7,0,100,9.77752137184143,0.0,0.0977752137184143,0,0,0.052396535873413086,OK,2025-10-19 22:09:35
0,1,100,400,4,32,10,0,100,11.23374319076538,0.0,0.11233743190765381,0,0,0.05883216857910156,OK,2025-10-19 22:09:45
1,123,100,400,4,32,10,0,100,11.191870212554932,0.0,0.11191870212554932,0,0,0.05836915969848633,OK,2025-10-19 22:09:56
2,999,100,400,4,32,10,0,100,11.124711751937866,0.0,0.11124711751937866,0,0,0.05798029899597168,OK,2025-10-19 22:10:08
0,1,100,400,5,40,5,0,100,9.314802169799805,0.0,0.09314802169799805,0,0,0.050337791442871094,OK,2025-10-19 22:10:19
1,123,100,400,5,40,5,0,100,9.173312425613403,0.0,0.09173312425613403,0,0,0.04986929893493652,OK,2025-10-19 22:10:28
2,999,100,400,5,40,5,0,100,9.33739972114563,0.0,0.0933739972114563,0,0,0.049729347229003906,OK,2025-10-19 22:10:37
0,1,100,400,5,40,7,0,100,10.174220085144043,0.0,0.10174220085144042,0,0,0.053998708724975586,OK,2025-10-19 22:10:47
1,123,100,400,5,40,7,0,100,10.2540602684021,0.0,0.102540602684021,0,0,0.05380368232727051,OK,2025-10-19 22:10:57
2,999,100,400,5,40,7,0,100,10.133341312408447,0.0,0.10133341312408448,0,0,0.05468583106994629,OK,2025-10-19 22:11:07
0,1,100,400,5,40,10,0,100,11.8157958984375,0.0,0.118157958984375,0,0,0.06213235855102539,OK,2025-10-19 22:11:18
1,123,100,400,5,40,10,0,100,11.456944942474365,0.0,0.11456944942474365,0,0,0.060463905334472656,OK,2025-10-19 22:11:29
2,999,100,400,5,40,10,0,100,11.733413219451904,0.0,0.11733413219451905,0,0,0.06218576431274414,OK,2025-10-19 22:11:41
0,1,100,400,6,48,5,0,100,9.406164407730103,0.0,0.09406164407730103,0,0,0.04958295822143555,OK,2025-10-19 22:11:53
1,123,100,400,6,48,5,1,99,9.515507936477661,1.0,0.09515507936477662,1,0,0.05086112022399902,OK,2025-10-19 22:12:02
2,999,100,400,6,48,5,0,100,9.393135786056519,0.0,0.09393135786056518,0,0,0.05037069320678711,OK,2025-10-19 22:12:12
0,1,100,400,6,48,7,0,100,10.662117958068848,0.0,0.10662117958068848,0,0,0.05514216423034668,OK,2025-10-19 22:12:21
1,123,100,400,6,48,7,0,100,10.333337545394897,0.0,0.10333337545394898,0,0,0.05463600158691406,OK,2025-10-19 22:12:32
2,999,100,400,6,48,7,0,100,10.55702519416809,0.0,0.1055702519416809,0,0,0.0555419921875,OK,2025-10-19 22:12:42
0,1,100,400,6,48,10,0,100,11.894197940826416,0.0,0.11894197940826416,0,0,0.06212210655212402,OK,2025-10-19 22:12:53
1,123,100,400,6,48,10,0,100,12.031172037124634,0.0,0.12031172037124634,0,0,0.06348156929016113,OK,2025-10-19 22:13:05
2,999,100,400,6,48,10,0,100,11.873017072677612,0.0,0.11873017072677612,0,0,0.06260108947753906,OK,2025-10-19 22:13:17
0,1,100,500,4,32,5,0,100,13.936499118804932,0.0,0.13936499118804932,0,0,0.059793949127197266,OK,2025-10-19 22:13:29
1,123,100,500,4,32,5,0,100,13.84039568901062,0.0,0.1384039568901062,0,0,0.058411598205566406,OK,2025-10-19 22:13:43
2,999,100,500,4,32,5,0,100,13.950621128082275,0.0,0.13950621128082275,0,0,0.062017202377319336,OK,2025-10-19 22:13:57
0,1,100,500,4,32,7,0,100,15.04015564918518,0.0,0.1504015564918518,0,0,0.07397961616516113,OK,2025-10-19 22:14:11
1,123,100,500,4,32,7,0,100,15.317911148071289,0.0,0.1531791114807129,0,0,0.0641028881072998,OK,2025-10-19 22:14:26
2,999,100,500,4,32,7,0,100,15.034400224685669,0.0,0.15034400224685668,0,0,0.06235837936401367,OK,2025-10-19 22:14:41
0,1,100,500,4,32,10,0,100,17.668160676956177,0.0,0.17668160676956177,0,0,0.0740208625793457,OK,2025-10-19 22:14:56
1,123,100,500,4,32,10,0,100,17.261597394943237,0.0,0.17261597394943237,0,0,0.07441973686218262,OK,2025-10-19 22:15:14
